generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
2870000,grahami,hendersoni,0,0.215366,-0.038728,0.00489685,0
2880000,grahami,hendersoni,0,0.227339,-0.0470195,0.00552813,0
2890000,grahami,hendersoni,0,0.259758,-0.039556,0.0239648,0
2900000,grahami,hendersoni,0,0.201385,-0.0453775,0.000760004,0
2910000,grahami,hendersoni,0,0.172889,-0.0359985,0.00902947,0
2920000,grahami,hendersoni,0,0.177106,-0.0331372,0.0119549,0
2930000,grahami,hendersoni,0,0.233827,-0.0436238,0.0092081,0
2940000,grahami,hendersoni,0,0.147409,-0.03086,0.00136794,0
2950000,grahami,hendersoni,0,0.202994,-0.0404563,0.0190214,0
2950000,confusus,NA,46.1233,0.331989,-0.011524,0.158893,0
2960000,grahami,hendersoni,0,0.290221,-0.0493962,0.016431,0
2970000,grahami,hendersoni,0,0.21687,-0.0440582,0.00541587,0
2980000,grahami,hendersoni,0,0.154574,-0.0370369,0.00794335,0
2990000,grahami,hendersoni,0,0.23004,-0.0403528,0.0242481,0
3000000,grahami,hendersoni,0,0.206623,-0.044634,0.00242987,0
3010000,grahami,hendersoni,0,0.130077,-0.0274421,0.00985484,0
3020000,grahami,hendersoni,0,0.276281,-0.0406567,0.0582313,0
3030000,grahami,hendersoni,0,0.278035,-0.0448531,0.0080895,0
3030000,lucius,NA,40.7833,0.220121,0.00379488,0.146246,0
3040000,grahami,hendersoni,0,0.200034,-0.0383016,0.00282571,0
3050000,grahami,hendersoni,0,0.153263,-0.0300987,0.00920593,0
3060000,grahami,hendersoni,0,0.216905,-0.0364084,0.0332344,0
3070000,grahami,hendersoni,0,0.227779,-0.0532649,0.00573464,0
3080000,grahami,hendersoni,0,0.215996,-0.0466792,0.0043571,0
3090000,grahami,hendersoni,0,0.179068,-0.0397065,0.000220586,0
3090000,longitibialis,NA,44.9099,0.222583,-0.00511084,0.425321,0
3100000,grahami,hendersoni,0,0.177158,-0.0361457,0.00276397,0
3110000,grahami,hendersoni,0,0.116544,-0.0265001,0.00496332,0
3120000,grahami,hendersoni,0,0.12347,-0.0269182,0.00714136,0
3130000,grahami,hendersoni,0,0.145433,-0.0296072,0.0104915,0
3140000,grahami,hendersoni,0,0.190331,-0.0376378,0.00172824,0
3150000,grahami,hendersoni,0,0.231274,-0.0463059,0.00762465,0
3160000,grahami,hendersoni,0,0.205276,-0.0412175,0.0126553,0
3170000,grahami,hendersoni,0,0.261015,-0.04549,0.0242904,0
3180000,grahami,hendersoni,0,0.194226,-0.0417689,0.00502716,0
3190000,grahami,hendersoni,0,0.247447,-0.0464642,0.00834765,0
3200000,grahami,hendersoni,0,0.244523,-0.0461433,0.0137316,0
3210000,grahami,hendersoni,0,0.186956,-0.0397224,0.0166667,0
3220000,grahami,hendersoni,0,0.161377,-0.0367515,0.00484556,0
3230000,grahami,hendersoni,0,0.164471,-0.0427314,0.00585888,0
3230000,grahami,NA,45.3048,0.00659421,0.0185774,0.539208,0
3240000,grahami,hendersoni,0,0.174334,-0.040108,0.0019627,0
3250000,grahami,hendersoni,0,0.135591,-0.0316777,0.00405605,0
3260000,grahami,hendersoni,0,0.220129,-0.0424862,0.0130963,0
3270000,grahami,hendersoni,0,0.306733,-0.0444836,0.0456399,0
3280000,grahami,hendersoni,0,0.110465,-0.0260499,2.12318e-005,0
3290000,grahami,hendersoni,0,0.195679,-0.0412063,0.0209525,0
3300000,grahami,hendersoni,0,0.280903,-0.0381641,0.0453582,0
3310000,grahami,hendersoni,0,0.103263,-0.0210832,0.00260513,0
3320000,grahami,hendersoni,0,0.17887,-0.0383744,0.000174228,0
